order_id,order_date,ship_date,customer_id,customer_name,segment,region,state,city,category,sub_category,product_name,quantity,unit_price,discount,revenue,cost,profit
ORD-00043,2023-12-02,2023-12-07,CUST-0195,William Taylor,Corporate,West,Arizona,Phoenix,Office Supplies,Storage,Desktop Organizer,1,64.71,0.05,61.47,35.22,26.25
ORD-00044,2023-08-09,2023-08-10,CUST-0289,Barbara Johnson,Consumer,North,Wisconsin,Milwaukee,Office Supplies,Envelopes,Business Envelopes #10,2,13.01,0.25,19.52,12.62,6.9
ORD-00045,2024-01-10,2024-01-12,CUST-0576,Matthew Perez,Consumer,West,California,Los Angeles,Office Supplies,Envelopes,Padded Mailer Pack,1,11.94,0.4,7.16,5.09,2.07
ORD-00046,2024-11-27,2024-11-29,CUST-0100,William Patel,Consumer,North,Minnesota,Minneapolis,Technology,Copiers,Color Copier Office,2,558.3,0.1,1004.94,629.77,375.17
ORD-00047,2023-02-16,2023-02-21,CUST-0486,Richard Thomas,Consumer,East,Virginia,Richmond,Furniture,Bookcases,Glass Door Bookcase,8,148.25,0.15,1008.1,862.18,145.92
ORD-00048,2023-11-03,2023-11-07,CUST-0522,Priya Lewis,Corporate,South,Georgia,Atlanta,Office Supplies,Paper,Cardstock Pack,1,19.91,0.05,18.91,12.8,6.11
ORD-00049,2023-11-12,2023-11-17,CUST-0705,Linda Wilson,Corporate,South,Georgia,Atlanta,Technology,Accessories,USB-C Hub 7-Port,1,120.87,0.1,108.78,55.26,53.52
ORD-00050,2024-01-25,2024-01-29,CUST-0033,Elena Jackson,Corporate,South,Texas,Dallas,Furniture,Furnishings,Cork Board Large,2,74.44,0.0,148.88,89.6,59.28
ORD-00051,2024-06-15,2024-06-18,CUST-0679,Thomas Jones,Consumer,West,California,San Francisco,Office Supplies,Envelopes,Security Envelopes 100pk,3,9.1,0.25,20.47,14.09,6.38
ORD-00052,2024-11-28,2024-12-02,CUST-0625,Wei Smith,Consumer,North,Minnesota,Minneapolis,Technology,Copiers,Color Copier Office,8,1894.67,0.2,12125.89,8802.57,3323.32
ORD-00053,2024-12-22,2024-12-27,CUST-0325,Thomas Harris,Consumer,West,Washington,Seattle,Office Supplies,Paper,Colored Paper Assorted,2,35.45,0.4,42.54,36.6,5.94
ORD-00054,2023-05-30,2023-06-02,CUST-0732,Andrew Anderson,Consumer,North,Minnesota,Minneapolis,Technology,Machines,Laminator A3 Pro,2,185.08,0.3,259.11,214.91,44.2
ORD-00055,2024-12-13,2024-12-15,CUST-0759,Daniel Ramirez,Corporate,East,Virginia,Richmond,Furniture,Tables,Standing Desk Pro,2,225.15,0.05,427.78,347.43,80.35
ORD-00056,2024-11-28,2024-11-29,CUST-0564,Barbara Harris,Home Office,East,Maryland,Baltimore,Office Supplies,Labels,File Folder Labels,1,19.63,0.0,19.63,10.34,9.29
ORD-00057,2023-04-02,2023-04-05,CUST-0757,Margaret Clark,Corporate,North,Michigan,Detroit,Office Supplies,Binders,3-Ring Binder 2in,2,29.92,0.05,56.85,27.41,29.44
ORD-00058,2023-10-24,2023-10-25,CUST-0582,Thomas Clark,Corporate,North,Minnesota,Minneapolis,Office Supplies,Storage,Hanging File Folders 25pk,1,107.82,0.1,97.04,57.63,39.41
ORD-00059,2023-10-07,2023-10-09,CUST-0167,Yuki Thomas,Corporate,South,Texas,Dallas,Furniture,Bookcases,Glass Door Bookcase,4,318.47,0.0,1273.88,1027.46,246.42
ORD-00060,2024-10-16,2024-10-21,CUST-0528,Nancy Lee,Consumer,West,California,Los Angeles,Furniture,Tables,L-Shaped Computer Desk,1,392.7,0.0,392.7,301.9,90.8
ORD-00061,2023-08-30,2023-09-02,CUST-0338,Lisa Harris,Consumer,South,Texas,Houston,Office Supplies,Labels,Shipping Labels 200pk,1,18.24,0.0,18.24,9.05,9.19
ORD-00062,2023-11-11,2023-11-15,CUST-0721,Matthew Thomas,Corporate,South,Georgia,Atlanta,Office Supplies,Envelopes,Manila Envelope Large,1,4.85,0.0,4.85,2.57,2.28
ORD-00063,2024-09-12,2024-09-17,CUST-0483,Carlos Wilson,Corporate,North,Michigan,Detroit,Furniture,Chairs,Adjustable Swivel Chair,3,323.37,0.0,970.11,625.41,344.7
ORD-00064,2024-07-31,2024-08-05,CUST-0518,Carlos Moore,Consumer,West,California,San Francisco,Office Supplies,Envelopes,Padded Mailer Pack,1,3.51,0.1,3.16,1.55,1.61
ORD-00065,2024-04-09,2024-04-12,CUST-0578,Anthony Robinson,Consumer,West,Washington,Seattle,Technology,Phones,Conference Speakerphone,1,278.12,0.0,278.12,164.26,113.86
ORD-00066,2023-03-16,2023-03-19,CUST-0066,Elizabeth Martinez,Corporate,East,New York,New York,Office Supplies,Paper,Cardstock Pack,4,23.4,0.2,74.88,57.83,17.05
ORD-00067,2024-01-27,2024-02-02,CUST-0387,Yuki Santos,Consumer,South,Tennessee,Nashville,Furniture,Bookcases,5-Shelf Wooden Bookcase,2,154.96,0.1,278.93,243.72,35.21
ORD-00068,2024-04-19,2024-04-23,CUST-0545,Carlos Brown,Consumer,East,Maryland,Baltimore,Office Supplies,Binders,D-Ring Binder Heavy Duty,5,8.09,0.2,32.36,22.25,10.11
ORD-00069,2024-03-05,2024-03-11,CUST-0017,Omar Ramirez,Consumer,East,Virginia,Richmond,Furniture,Furnishings,Cable Management Kit,5,107.36,0.0,536.8,358.63,178.17
ORD-00070,2023-02-15,2023-02-18,CUST-0223,Matthew Singh,Corporate,South,Texas,Dallas,Technology,Copiers,Color Copier Office,4,1668.42,0.0,6673.68,4055.89,2617.79
ORD-00071,2023-11-25,2023-12-01,CUST-0677,Carol Singh,Corporate,West,Washington,Seattle,Furniture,Tables,L-Shaped Computer Desk,1,566.89,0.0,566.89,418.4,148.49
ORD-00072,2024-10-20,2024-10-25,CUST-0327,Fatima Wilson,Corporate,West,Washington,Seattle,Office Supplies,Binders,Clear View Binder Pack,1,9.51,0.25,7.13,5.49,1.64
ORD-00073,2023-03-01,2023-03-08,CUST-0571,Christopher Martin,Corporate,West,Washington,Seattle,Furniture,Bookcases,5-Shelf Wooden Bookcase,4,467.33,0.0,1869.32,1398.64,470.68
ORD-00074,2023-07-15,2023-07-18,CUST-0620,Yuki Thomas,Corporate,North,Michigan,Detroit,Technology,Accessories,Laptop Stand Aluminum,5,49.69,0.0,248.45,118.82,129.63
ORD-00075,2023-01-16,2023-01-18,CUST-0760,Daniel Taylor,Consumer,North,Wisconsin,Milwaukee,Furniture,Tables,L-Shaped Computer Desk,3,836.34,0.2,2007.22,1698.8,308.42
ORD-00076,2024-06-30,2024-07-03,CUST-0369,Mary Muller,Consumer,West,California,Los Angeles,Technology,Machines,Label Maker Portable,2,555.45,0.05,1055.36,656.65,398.71
ORD-00077,2023-05-30,2023-06-03,CUST-0599,Nancy Chen,Corporate,West,California,San Francisco,Furniture,Bookcases,Metal Storage Bookcase,4,239.53,0.05,910.21,722.76,187.45
ORD-00078,2024-11-01,2024-11-04,CUST-0782,Carlos Moore,Home Office,North,Wisconsin,Milwaukee,Office Supplies,Binders,D-Ring Binder Heavy Duty,3,7.57,0.05,21.57,11.02,10.55
ORD-00079,2023-03-02,2023-03-07,CUST-0077,Elena Perez,Home Office,South,Texas,Houston,Office Supplies,Binders,Presentation Binder Set,1,4.84,0.0,4.84,2.64,2.2
ORD-00080,2024-04-11,2024-04-15,CUST-0683,Elizabeth Rodriguez,Home Office,North,Wisconsin,Milwaukee,Furniture,Chairs,Adjustable Swivel Chair,1,375.82,0.1,338.24,225.73,112.51
ORD-00081,2023-10-09,2023-10-12,CUST-0515,Mary Garcia,Corporate,South,Texas,Dallas,Furniture,Chairs,Adjustable Swivel Chair,1,174.45,0.1,157.0,127.18,29.82
ORD-00082,2023-12-29,2024-01-01,CUST-0383,Margaret Gonzalez,Home Office,West,California,San Francisco,Technology,Accessories,Mechanical Keyboard RGB,4,139.97,0.15,475.9,233.95,241.95
ORD-00083,2024-10-27,2024-10-29,CUST-0389,Robert Thompson,Consumer,West,California,Los Angeles,Technology,Accessories,USB-C Hub 7-Port,2,104.97,0.2,167.95,99.49,68.46
ORD-00084,2023-02-13,2023-02-19,CUST-0709,William Kumar,Home Office,West,California,Los Angeles,Furniture,Bookcases,5-Shelf Wooden Bookcase,5,155.33,0.0,776.65,562.36,214.29
ORD-00085,2023-08-01,2023-08-06,CUST-0730,Andrew Ali,Home Office,North,Minnesota,Minneapolis,Furniture,Tables,Folding Utility Table,2,775.99,0.25,1163.99,1183.77,-19.78
ORD-00086,2024-12-06,2024-12-10,CUST-0355,Susan Brown,Consumer,West,California,Los Angeles,Office Supplies,Envelopes,Padded Mailer Pack,2,14.6,0.1,26.28,13.87,12.41
ORD-00087,2024-04-06,2024-04-09,CUST-0385,Omar Thomas,Consumer,South,Florida,Miami,Furniture,Bookcases,Metal Storage Bookcase,1,379.51,0.0,379.51,317.18,62.33
ORD-00088,2024-12-29,2024-12-31,CUST-0399,Sandra Lopez,Consumer,East,New York,New York,Office Supplies,Storage,Desktop Organizer,1,93.75,0.0,93.75,53.1,40.65
ORD-00089,2024-03-17,2024-03-21,CUST-0418,Omar Moore,Consumer,East,Virginia,Richmond,Furniture,Bookcases,Corner Bookcase Unit,2,85.18,0.2,136.29,144.12,-7.83
ORD-00090,2023-09-06,2023-09-08,CUST-0390,Emily Ramirez,Consumer,East,Massachusetts,Boston,Office Supplies,Binders,3-Ring Binder 2in,1,7.51,0.0,7.51,3.95,3.56
ORD-00091,2023-03-20,2023-03-26,CUST-0739,Yuki Miller,Corporate,South,Texas,Dallas,Office Supplies,Paper,Premium Laser Paper,6,18.71,0.0,112.26,66.78,45.48
ORD-00092,2024-09-27,2024-10-03,CUST-0451,Betty Lopez,Consumer,North,Indiana,Indianapolis,Furniture,Bookcases,Glass Door Bookcase,3,333.35,0.05,950.05,798.47,151.58
ORD-00093,2023-11-23,2023-11-27,CUST-0503,Richard Martin,Home Office,North,Minnesota,Minneapolis,Office Supplies,Pens,Highlighter Variety Pack,6,8.57,0.0,51.42,21.33,30.09
ORD-00094,2024-07-12,2024-07-17,CUST-0028,Donna Jackson,Home Office,West,California,San Francisco,Office Supplies,Pens,Ballpoint Pen 12pk,4,16.74,0.05,63.61,29.03,34.58
ORD-00095,2024-05-26,2024-05-29,CUST-0259,Michael Perez,Corporate,South,Florida,Miami,Furniture,Furnishings,Cable Management Kit,2,82.3,0.1,148.14,110.35,37.79
ORD-00096,2024-12-09,2024-12-10,CUST-0369,Mary Muller,Corporate,North,Indiana,Indianapolis,Technology,Phones,Smartphone ProMax 14,3,638.27,0.05,1819.07,913.03,906.04
ORD-00097,2024-10-24,2024-10-28,CUST-0661,Paul Jackson,Corporate,West,Washington,Seattle,Office Supplies,Paper,Recycled Copy Paper 500pk,1,9.44,0.15,8.02,5.33,2.69
ORD-00098,2024-07-25,2024-07-29,CUST-0457,Omar Rodriguez,Consumer,West,Arizona,Phoenix,Technology,Accessories,Mechanical Keyboard RGB,2,199.56,0.0,399.12,164.86,234.26
ORD-00099,2023-03-29,2023-04-04,CUST-0146,Richard Clark,Consumer,West,California,San Francisco,Technology,Machines,Label Maker Portable,2,327.6,0.15,556.92,360.53,196.39
ORD-00100,2023-11-23,2023-11-24,CUST-0728,Paul Lewis,Consumer,North,Illinois,Chicago,Technology,Accessories,Wireless Mouse Ergonomic,3,108.04,0.0,324.12,125.85,198.27
ORD-00101,2024-10-06,2024-10-10,CUST-0443,Carlos Lopez,Consumer,South,Texas,Dallas,Office Supplies,Envelopes,Padded Mailer Pack,3,7.05,0.0,21.15,9.92,11.23
ORD-00102,2024-12-21,2024-12-23,CUST-0105,Carlos Gonzalez,Corporate,West,Washington,Seattle,Office Supplies,Binders,Clear View Binder Pack,3,6.08,0.05,17.33,8.74,8.59
ORD-00103,2024-10-16,2024-10-19,CUST-0402,Carol Chen,Corporate,West,Colorado,Denver,Technology,Accessories,Mechanical Keyboard RGB,3,184.55,0.15,470.6,211.97,258.63
ORD-00104,2023-11-17,2023-11-20,CUST-0188,Michael Thomas,Consumer,East,Maryland,Baltimore,Office Supplies,Envelopes,Manila Envelope Large,2,9.47,0.05,17.99,8.71,9.28
ORD-00105,2024-10-22,2024-10-24,CUST-0171,Robert Muller,Consumer,East,Massachusetts,Boston,Office Supplies,Envelopes,Business Envelopes #10,6,13.25,0.05,75.52,39.11,36.41
ORD-00106,2024-07-29,2024-08-02,CUST-0702,Jennifer Sanchez,Consumer,South,Florida,Miami,Office Supplies,Binders,3-Ring Binder 2in,4,18.27,0.0,73.08,40.94,32.14
ORD-00107,2023-02-03,2023-02-07,CUST-0173,Wei Ali,Corporate,West,Colorado,Denver,Technology,Phones,VoIP Handset Pro,4,179.94,0.2,575.81,463.75,112.06
ORD-00108,2024-01-11,2024-01-16,CUST-0779,Thomas Miller,Corporate,West,Colorado,Denver,Furniture,Tables,Round Meeting Table,1,806.11,0.0,806.11,587.44,218.67
ORD-00109,2023-03-31,2023-04-07,CUST-0795,Michael Martinez,Corporate,East,Virginia,Richmond,Technology,Copiers,High-Speed Document Scanner,1,498.77,0.0,498.77,305.68,193.09
ORD-00110,2024-08-06,2024-08-09,CUST-0552,Sarah Hernandez,Consumer,North,Minnesota,Minneapolis,Office Supplies,Envelopes,Security Envelopes 100pk,2,14.38,0.25,21.57,14.27,7.3
ORD-00111,2023-04-08,2023-04-13,CUST-0422,Raj Clark,Home Office,North,Michigan,Detroit,Technology,Accessories,Wireless Mouse Ergonomic,2,37.79,0.0,75.58,22.98,52.6
ORD-00112,2024-11-23,2024-11-25,CUST-0648,Yuki Rodriguez,Consumer,West,Colorado,Denver,Furniture,Chairs,Stackable Conference Chair,1,357.81,0.3,250.47,281.09,-30.62
ORD-00113,2024-05-14,2024-05-15,CUST-0793,Barbara Kumar,Home Office,East,Maryland,Baltimore,Technology,Copiers,Laser Printer All-in-One,2,1632.22,0.35,2121.89,1968.49,153.4
ORD-00114,2023-08-05,2023-08-08,CUST-0291,Paul Muller,Consumer,West,Arizona,Phoenix,Office Supplies,Pens,Ballpoint Pen 12pk,3,2.83,0.2,6.79,4.87,1.92
ORD-00115,2023-01-17,2023-01-23,CUST-0452,Lisa Smith,Consumer,North,Wisconsin,Milwaukee,Furniture,Tables,Round Meeting Table,6,269.23,0.0,1615.38,1147.54,467.84
ORD-00116,2024-11-01,2024-11-03,CUST-0681,Omar Martin,Home Office,East,Maryland,Baltimore,Technology,Copiers,Color Copier Office,1,972.62,0.0,972.62,598.24,374.38
ORD-00117,2023-08-07,2023-08-09,CUST-0232,Omar Miller,Consumer,West,California,Los Angeles,Technology,Copiers,Laser Printer All-in-One,2,1978.68,0.0,3957.36,2367.55,1589.81
ORD-00118,2023-03-14,2023-03-16,CUST-0105,Carlos Gonzalez,Consumer,West,Washington,Seattle,Furniture,Furnishings,Wall Clock Modern,3,103.4,0.0,310.2,183.5,126.7
ORD-00119,2024-07-30,2024-08-03,CUST-0451,Betty Lopez,Consumer,East,Pennsylvania,Philadelphia,Office Supplies,Envelopes,Padded Mailer Pack,1,13.18,0.0,13.18,7.34,5.84
ORD-00120,2023-05-07,2023-05-10,CUST-0440,Elizabeth Gonzalez,Consumer,East,Massachusetts,Boston,Technology,Phones,Business Desk Phone,3,487.38,0.1,1315.93,859.15,456.78
ORD-00121,2024-12-08,2024-12-13,CUST-0309,Daniel Lewis,Consumer,South,Texas,Dallas,Technology,Machines,Label Maker Portable,4,416.01,0.2,1331.23,1047.6,283.63
ORD-00122,2023-09-03,2023-09-05,CUST-0512,Kevin Williams,Corporate,East,New York,New York,Office Supplies,Pens,Gel Pen Fine Tip,4,8.96,0.05,34.05,14.5,19.55
ORD-00123,2023-03-16,2023-03-18,CUST-0269,Wei Harris,Consumer,North,Wisconsin,Milwaukee,Technology,Copiers,High-Speed Document Scanner,2,962.44,0.1,1732.39,1289.94,442.45
ORD-00124,2024-07-04,2024-07-07,CUST-0318,Dorothy Thomas,Consumer,North,Michigan,Detroit,Technology,Copiers,High-Speed Document Scanner,4,1255.59,0.1,4520.12,2661.39,1858.73
ORD-00125,2024-10-20,2024-10-24,CUST-0748,Kimberly Jackson,Home Office,East,Pennsylvania,Philadelphia,Furniture,Furnishings,Desk Lamp Classic,3,78.94,0.0,236.82,160.88,75.94
ORD-00126,2024-11-04,2024-11-06,CUST-0725,William Clark,Consumer,East,Maryland,Baltimore,Office Supplies,Envelopes,Security Envelopes 100pk,1,4.17,0.2,3.34,2.54,0.8
ORD-00127,2023-10-03,2023-10-05,CUST-0031,Joseph Jones,Consumer,West,Arizona,Phoenix,Furniture,Bookcases,5-Shelf Wooden Bookcase,2,288.38,0.0,576.76,404.0,172.76
ORD-00128,2024-08-03,2024-08-05,CUST-0792,James Lopez,Consumer,West,California,Los Angeles,Furniture,Chairs,Executive Leather Chair,1,529.34,0.0,529.34,355.55,173.79
ORD-00129,2024-01-08,2024-01-10,CUST-0037,Aarav White,Corporate,North,Wisconsin,Milwaukee,Furniture,Bookcases,Metal Storage Bookcase,3,254.83,0.0,764.49,577.18,187.31
ORD-00130,2023-03-21,2023-03-23,CUST-0690,Wei Chen,Home Office,East,Virginia,Richmond,Furniture,Furnishings,Desk Lamp Classic,5,134.01,0.2,536.04,472.99,63.05
ORD-00131,2023-03-30,2023-03-31,CUST-0206,James Perez,Consumer,North,Indiana,Indianapolis,Furniture,Furnishings,Cork Board Large,2,96.92,0.2,155.07,124.45,30.62
ORD-00132,2023-09-09,2023-09-15,CUST-0025,Robert Robinson,Consumer,West,California,Los Angeles,Office Supplies,Paper,Legal Size Paper Ream,3,43.21,0.0,129.63,71.74,57.89
ORD-00133,2024-03-05,2024-03-07,CUST-0146,Richard Clark,Corporate,East,Pennsylvania,Philadelphia,Technology,Machines,Label Maker Portable,4,318.4,0.1,1146.24,632.83,513.41
ORD-00134,2024-06-01,2024-06-06,CUST-0077,Elena Perez,Corporate,East,Pennsylvania,Philadelphia,Furniture,Bookcases,Glass Door Bookcase,6,437.38,0.05,2493.07,2030.35,462.72
ORD-00135,2023-12-01,2023-12-04,CUST-0077,Elena Perez,Home Office,East,Virginia,Richmond,Furniture,Tables,Standing Desk Pro,2,273.28,0.05,519.23,368.4,150.83
ORD-00136,2024-07-02,2024-07-07,CUST-0463,Susan Brown,Consumer,East,New York,New York,Furniture,Tables,Round Meeting Table,3,769.79,0.0,2309.37,1841.72,467.65
ORD-00137,2023-12-02,2023-12-07,CUST-0365,Thomas Jones,Consumer,East,Massachusetts,Boston,Office Supplies,Binders,3-Ring Binder 2in,5,28.71,0.1,129.2,66.15,63.05
ORD-00138,2024-07-17,2024-07-21,CUST-0144,James Garcia,Consumer,East,Pennsylvania,Philadelphia,Furniture,Tables,L-Shaped Computer Desk,3,429.18,0.1,1158.79,906.3,252.49
ORD-00139,2024-08-19,2024-08-25,CUST-0077,Elena Perez,Consumer,East,Maryland,Baltimore,Furniture,Chairs,Ergonomic Task Chair,6,161.26,0.0,967.56,716.65,250.91
ORD-00140,2024-08-10,2024-08-15,CUST-0509,Karen Kim,Consumer,South,Texas,Dallas,Office Supplies,Binders,Presentation Binder Set,2,10.42,0.0,20.84,9.97,10.87
ORD-00141,2024-09-20,2024-09-23,CUST-0303,Ashley Brown,Consumer,North,Wisconsin,Milwaukee,Furniture,Chairs,Ergonomic Task Chair,2,291.51,0.1,524.72,414.74,109.98
ORD-00142,2024-06-22,2024-06-29,CUST-0557,Ashley Davis,Corporate,North,Minnesota,Minneapolis,Office Supplies,Envelopes,Padded Mailer Pack,3,6.47,0.0,19.41,10.97,8.44
